,log(S),ncts,samp err,ref,+,-
45,-3.686,4.73,0.133,ho03,0.412,    0.412
46,-3.669,1.82,0.317,se08A,0.487,    0.487
47,-3.65,4.02,0.216,bo08,0.517,    0.517
48,-3.648,4.46,0.008,ow08,0.940,    0.940
49,-3.629,4.4,0.532,mi85,1.313,    1.313
50,-3.627,2.9,0.396,ri00,0.745,    0.745
51,-3.611,3.88,0.266,ib09,0.549,    0.549
52,-3.597,4.67,0.131,ho03,0.412,    0.412
53,-3.569,5.3,0.158,gr99,1.012,    1.012
54,-3.561,5.3,0.284,bo08,0.691,    0.691
55,-3.543,4.23,0.453,ke08,0.817,    0.817
56,-3.509,3.8,0.460,mi85,1.285,    1.285
57,-3.495,4.61,0.134,ci99,0.365,    0.365
58,-3.487,4.37,0.123,ho03,0.380,    0.380
59,-3.472,4.49,0.241,bo08,0.712,    0.712
60,-3.413,5.48,0.376,ib09,0.902,    0.902
61,-3.384,4.47,0.240,bo08,0.816,    0.816
62,-3.378,6.2,0.664,fo06,2.587,    2.587
63,-3.377,2.53,0.441,se08A,0.777,    0.777
64,-3.35,4.64,0.131,ho03,0.411,    0.411
65,-3.347,3.5,0.477,ri00,0.853,    0.853
66,-3.323,6.5,0.786,mi85,1.519,    1.519
67,-3.319,7.7,0.229,gr99,0.642,    0.642
68,-3.297,5.14,0.276,bo08,1.008,    1.008
69,-3.252,4.78,0.139,ci99,0.414,    0.414
70,-3.215,4.7,0.322,ib09,1.185,    1.185
71,-3.208,5.97,0.320,bo08,1.319,    1.319
72,-3.197,6.15,0.173,ho03,0.548,    0.548
73,-3.12,4.05,0.217,bo08,1.190,    1.190
74,-3.111,3.93,0.211,bo08,1.275,    1.081
75,-3.097,5.4,0.653,mi85,1.821,    1.821
76,-3.07,6.58,0.705,ke08,1.666,    1.666
77,-3.06,5.7,0.170,gr99,0.528,    0.528
78,-3.046,4.23,0.007,ow08,1.260,    1.260
79,-3.032,5.49,0.294,bo08,1.607,    1.607
80,-3.031,5.483,0.294,bo08,1.646,    1.508
